"Any";"Indicador";"Districte";"Barri";"DT";"BA";"DTBA";"Valor"
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"1. Ciutat Vella";"1.1. la Seu";1;1;11;0,83
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"1. Ciutat Vella";"1.2. la Xerea";1;2;12;0,53
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"1. Ciutat Vella";"1.3. el Carme";1;3;13;1,41
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"1. Ciutat Vella";"1.4. el Pilar";1;4;14;1,42
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"1. Ciutat Vella";"1.5. el Mercat";1;5;15;0,98
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"1. Ciutat Vella";"1.6. Sant Francesc";1;6;16;0,42
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"2. l'Eixample";"2.1. Russafa";2;1;21;1,24
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"2. l'Eixample";"2.2. el Pla del Remei";2;2;22;0,25
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"2. l'Eixample";"2.3. Gran Via";2;3;23;0,47
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"3. Extramurs";"3.1. el Botànic";3;1;31;1,19
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"3. Extramurs";"3.2. la Roqueta";3;2;32;1,06
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"3. Extramurs";"3.3. la Petxina";3;3;33;1,14
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"3. Extramurs";"3.4. Arrancapins";3;4;34;1
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"4. Campanar";"4.1. Campanar";4;1;41;1,2
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"4. Campanar";"4.2. les Tendetes";4;2;42;1,77
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"4. Campanar";"4.3. el Calvari";4;3;43;2,68
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"4. Campanar";"4.4. Sant Pau";4;4;44;0,84
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"5. la Saïdia";"5.1. Marxalenes";5;1;51;1,95
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"5. la Saïdia";"5.2. Morvedre";5;2;52;1,66
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"5. la Saïdia";"5.3. Trinitat";5;3;53;1,31
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"5. la Saïdia";"5.4. Tormos";5;4;54;2,16
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"5. la Saïdia";"5.5. Sant Antoni";5;5;55;1,46
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"6. el Pla del Real";"6.1. Exposició";6;1;61;0,48
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"6. el Pla del Real";"6.2. Mestalla";6;2;62;0,85
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"6. el Pla del Real";"6.3. Jaume Roig";6;3;63;0,47
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"6. el Pla del Real";"6.4. Ciutat Universitària";6;4;64;0,73
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"7. l'Olivereta";"7.1. Nou Moles";7;1;71;1,84
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"7. l'Olivereta";"7.2. Soternes";7;2;72;2,27
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"7. l'Olivereta";"7.3. Tres Forques";7;3;73;2,81
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"7. l'Olivereta";"7.4. la Fontsanta";7;4;74;3,74
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"7. l'Olivereta";"7.5. la Llum";7;5;75;1,62
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"8. Patraix";"8.1. Patraix";8;1;81;1,48
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"8. Patraix";"8.2. Sant Isidre";8;2;82;2,02
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"8. Patraix";"8.3. Vara de Quart";8;3;83;1,63
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"8. Patraix";"8.4. Safranar";8;4;84;1,4
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"8. Patraix";"8.5. Favara";8;5;85;1,98
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"9. Jesús";"9.1. la Raiosa";9;1;91;1,76
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"9. Jesús";"9.2. l'Hort de Senabre";9;2;92;2,06
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"9. Jesús";"9.3. la Creu Coberta";9;3;93;2,32
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"9. Jesús";"9.4. Sant Marcel·lí";9;4;94;2,27
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"9. Jesús";"9.5. Camí Real";9;5;95;2,73
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"10. Quatre Carreres";"10.1. Mont-Olivet";10;1;101;1,86
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"10. Quatre Carreres";"10.2. en Corts";10;2;102;2,27
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"10. Quatre Carreres";"10.3. Malilla";10;3;103;1,78
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"10. Quatre Carreres";"10.4. Fonteta de Sant Lluís";10;4;104;2,78
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"10. Quatre Carreres";"10.5. na Rovella";10;5;105;3,39
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"10. Quatre Carreres";"10.6. la Punta";10;6;106;1,84
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"10. Quatre Carreres";"10.7. Ciutat de les Arts i de les Ciències";10;7;107;0,94
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"11. Poblats Marítims";"11.1. el Grau";11;1;111;2,06
2019;"Percentatge d'ingressos procedents de prestacions per desocupació.";"11. Poblats Marítims";"11.2. el Cabanyal-el Canyamelar";11;2;112;2,05
