"Any";"Indicador";"Districte";"Barri";"DT";"BA";"DTBA";"Valor"
2018;"Índex de Gini.";"1. Ciutat Vella";"1.1. la Seu";1;1;11;37,2622238061297
2018;"Índex de Gini.";"1. Ciutat Vella";"1.2. la Xerea";1;2;12;43,1715349827082
2018;"Índex de Gini.";"1. Ciutat Vella";"1.3. el Carme";1;3;13;33,9926156875615
2018;"Índex de Gini.";"1. Ciutat Vella";"1.4. el Pilar";1;4;14;35,6645650628111
2018;"Índex de Gini.";"1. Ciutat Vella";"1.5. el Mercat";1;5;15;36,9416715031921
2018;"Índex de Gini.";"1. Ciutat Vella";"1.6. Sant Francesc";1;6;16;39,9591171171171
2018;"Índex de Gini.";"2. l'Eixample";"2.1. Russafa";2;1;21;33,83416022428
2018;"Índex de Gini.";"2. l'Eixample";"2.2. el Pla del Remei";2;2;22;40,9282148040639
2018;"Índex de Gini.";"2. l'Eixample";"2.3. Gran Via";2;3;23;33,8983594080338
2018;"Índex de Gini.";"3. Extramurs";"3.1. el Botànic";3;1;31;34,8739130434783
2018;"Índex de Gini.";"3. Extramurs";"3.2. la Roqueta";3;2;32;39,9003618272275
2018;"Índex de Gini.";"3. Extramurs";"3.3. la Petxina";3;3;33;32,8669200753498
2018;"Índex de Gini.";"3. Extramurs";"3.4. Arrancapins";3;4;34;34,2044032444959
2018;"Índex de Gini.";"4. Campanar";"4.1. Campanar";4;1;41;30,9898276917694
2018;"Índex de Gini.";"4. Campanar";"4.2. les Tendetes";4;2;42;35,9181522570773
2018;"Índex de Gini.";"4. Campanar";"4.3. el Calvari";4;3;43;35,2675923992483
2018;"Índex de Gini.";"4. Campanar";"4.4. Sant Pau";4;4;44;31,4591444437664
2018;"Índex de Gini.";"5. la Saïdia";"5.1. Marxalenes";5;1;51;33,0197258979206
2018;"Índex de Gini.";"5. la Saïdia";"5.2. Morvedre";5;2;52;33,2816276202219
2018;"Índex de Gini.";"5. la Saïdia";"5.3. Trinitat";5;3;53;33,5583516341558
2018;"Índex de Gini.";"5. la Saïdia";"5.4. Tormos";5;4;54;32,9288766287123
2018;"Índex de Gini.";"5. la Saïdia";"5.5. Sant Antoni";5;5;55;31,3829949769778
2018;"Índex de Gini.";"6. el Pla del Real";"6.1. Exposició";6;1;61;35,1391114457831
2018;"Índex de Gini.";"6. el Pla del Real";"6.2. Mestalla";6;2;62;35,2554341852157
2018;"Índex de Gini.";"6. el Pla del Real";"6.3. Jaume Roig";6;3;63;34,867140625
2018;"Índex de Gini.";"6. el Pla del Real";"6.4. Ciutat Universitària";6;4;64;31,2652320359281
2018;"Índex de Gini.";"7. l'Olivereta";"7.1. Nou Moles";7;1;71;32,6390681281227
2018;"Índex de Gini.";"7. l'Olivereta";"7.2. Soternes";7;2;72;30,4568186507118
2018;"Índex de Gini.";"7. l'Olivereta";"7.3. Tres Forques";7;3;73;32,1607106252135
2018;"Índex de Gini.";"7. l'Olivereta";"7.4. la Fontsanta";7;4;74;35,7206703910615
2018;"Índex de Gini.";"7. l'Olivereta";"7.5. la Llum";7;5;75;29,1936213161082
2018;"Índex de Gini.";"8. Patraix";"8.1. Patraix";8;1;81;31,9450822684032
2018;"Índex de Gini.";"8. Patraix";"8.2. Sant Isidre";8;2;82;27,6860925813624
2018;"Índex de Gini.";"8. Patraix";"8.3. Vara de Quart";8;3;83;29,1921642512077
2018;"Índex de Gini.";"8. Patraix";"8.4. Safranar";8;4;84;28,2004707170224
2018;"Índex de Gini.";"8. Patraix";"8.5. Favara";8;5;85;32,2163544870003
2018;"Índex de Gini.";"9. Jesús";"9.1. la Raiosa";9;1;91;34,0337760041868
2018;"Índex de Gini.";"9. Jesús";"9.2. l'Hort de Senabre";9;2;92;30,767030825558
2018;"Índex de Gini.";"9. Jesús";"9.3. la Creu Coberta";9;3;93;30,9512648930961
2018;"Índex de Gini.";"9. Jesús";"9.4. Sant Marcel·lí";9;4;94;29,8650985122638
2018;"Índex de Gini.";"9. Jesús";"9.5. Camí Real";9;5;95;31,4205890086774
2018;"Índex de Gini.";"10. Quatre Carreres";"10.1. Mont-Olivet";10;1;101;34,2609797822706
2018;"Índex de Gini.";"10. Quatre Carreres";"10.2. en Corts";10;2;102;33,9898811516572
2018;"Índex de Gini.";"10. Quatre Carreres";"10.3. Malilla";10;3;103;29,1770352703756
2018;"Índex de Gini.";"10. Quatre Carreres";"10.4. Fonteta de Sant Lluís";10;4;104;31,2238601302708
2018;"Índex de Gini.";"10. Quatre Carreres";"10.5. na Rovella";10;5;105;34,1465541855938
2018;"Índex de Gini.";"10. Quatre Carreres";"10.6. la Punta";10;6;106;36,13125
2018;"Índex de Gini.";"10. Quatre Carreres";"10.7. Ciutat de les Arts i de les Ciències";10;7;107;32,7574089997134
2018;"Índex de Gini.";"11. Poblats Marítims";"11.1. el Grau";11;1;111;33,5931668288464
2018;"Índex de Gini.";"11. Poblats Marítims";"11.2. el Cabanyal-el Canyamelar";11;2;112;35,2647430497051
2018;"Índex de Gini.";"11. Poblats Marítims";"11.3. la Malva-rosa";11;3;113;32,1208799812104
2018;"Índex de Gini.";"11. Poblats Marítims";"11.4. Beteró";11;4;114;31,7667218332272
2018;"Índex de Gini.";"11. Poblats Marítims";"11.5. Natzaret";11;5;115;35,920395738204
2018;"Índex de Gini.";"12. Camins al Grau";"12.1. Aiora";12;1;121;32,0616577996182
2018;"Índex de Gini.";"12. Camins al Grau";"12.2. Albors";12;2;122;33,4024103332949
2018;"Índex de Gini.";"12. Camins al Grau";"12.3. la Creu del Grau";12;3;123;31,314709925763
2018;"Índex de Gini.";"12. Camins al Grau";"12.4. Camí Fondo";12;4;124;34,4356469002695
2018;"Índex de Gini.";"12. Camins al Grau";"12.5. Penya-roja";12;5;125;33,6683402388496
2018;"Índex de Gini.";"13. Algirós";"13.1. l'Illa Perduda";13;1;131;30,8362962962963
2018;"Índex de Gini.";"13. Algirós";"13.2. Ciutat Jardí";13;2;132;32,0927757946626
2018;"Índex de Gini.";"13. Algirós";"13.3. l'Amistat";13;3;133;35,1246337259408
2018;"Índex de Gini.";"13. Algirós";"13.4. la Bega Baixa";13;4;134;31,1905939700307
2018;"Índex de Gini.";"13. Algirós";"13.5. la Carrasca";13;5;135;32,6768313953488
2018;"Índex de Gini.";"14. Benimaclet";"14.1. Benimaclet";14;1;141;32,4540153585839
2018;"Índex de Gini.";"14. Benimaclet";"14.2. Camí de Vera";14;2;142;30,3019822156354
2018;"Índex de Gini.";"15. Rascanya";"15.1. Orriols";15;1;151;32,8829275866352
2018;"Índex de Gini.";"15. Rascanya";"15.2. Torrefiel";15;2;152;30,9529203267067
2018;"Índex de Gini.";"15. Rascanya";"15.3. Sant Llorenç";15;3;153;28,5991791182439
2018;"Índex de Gini.";"16. Benicalap";"16.1. Benicalap";16;1;161;30,5187685753913
