"Any";"Indicador";"Districte";"Barri";"DT";"BA";"DTBA";"Valor"
2016;"Renda neta mitjana per llar.";"1. Ciutat Vella";"1.1. la Seu";1;1;11;39088,2557460781
2016;"Renda neta mitjana per llar.";"1. Ciutat Vella";"1.2. la Xerea";1;2;12;51749,314083356
2016;"Renda neta mitjana per llar.";"1. Ciutat Vella";"1.3. el Carme";1;3;13;28317,4261083744
2016;"Renda neta mitjana per llar.";"1. Ciutat Vella";"1.4. el Pilar";1;4;14;29954,805204106
2016;"Renda neta mitjana per llar.";"1. Ciutat Vella";"1.5. el Mercat";1;5;15;32299,665786385
2016;"Renda neta mitjana per llar.";"1. Ciutat Vella";"1.6. Sant Francesc";1;6;16;53182,6984275552
2016;"Renda neta mitjana per llar.";"2. l'Eixample";"2.1. Russafa";2;1;21;32421,612139346
2016;"Renda neta mitjana per llar.";"2. l'Eixample";"2.2. el Pla del Remei";2;2;22;69841,1371778069
2016;"Renda neta mitjana per llar.";"2. l'Eixample";"2.3. Gran Via";2;3;23;48886,4076049553
2016;"Renda neta mitjana per llar.";"3. Extramurs";"3.1. el Botànic";3;1;31;33015,6008865539
2016;"Renda neta mitjana per llar.";"3. Extramurs";"3.2. la Roqueta";3;2;32;34557,3408880666
2016;"Renda neta mitjana per llar.";"3. Extramurs";"3.3. la Petxina";3;3;33;35017,481426146
2016;"Renda neta mitjana per llar.";"3. Extramurs";"3.4. Arrancapins";3;4;34;37555,9928613383
2016;"Renda neta mitjana per llar.";"4. Campanar";"4.1. Campanar";4;1;41;35325,9715944068
2016;"Renda neta mitjana per llar.";"4. Campanar";"4.2. les Tendetes";4;2;42;28355,2266718507
2016;"Renda neta mitjana per llar.";"4. Campanar";"4.3. el Calvari";4;3;43;20590,3706989829
2016;"Renda neta mitjana per llar.";"4. Campanar";"4.4. Sant Pau";4;4;44;43136,5983586017
2016;"Renda neta mitjana per llar.";"5. la Saïdia";"5.1. Marxalenes";5;1;51;26024,5817555938
2016;"Renda neta mitjana per llar.";"5. la Saïdia";"5.2. Morvedre";5;2;52;28001,1395613491
2016;"Renda neta mitjana per llar.";"5. la Saïdia";"5.3. Trinitat";5;3;53;29723,2512283424
2016;"Renda neta mitjana per llar.";"5. la Saïdia";"5.4. Tormos";5;4;54;25084,8546350848
2016;"Renda neta mitjana per llar.";"5. la Saïdia";"5.5. Sant Antoni";5;5;55;31256,6332278481
2016;"Renda neta mitjana per llar.";"6. el Pla del Real";"6.1. Exposició";6;1;61;57146,2152500767
2016;"Renda neta mitjana per llar.";"6. el Pla del Real";"6.2. Mestalla";6;2;62;42428,958677686
