"Any";"Indicador";"Districte";"Barri";"DT";"BA";"DTBA";"Valor"
2017;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.1. la Seu";1;1;11;3,52461428058845
2017;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.2. la Xerea";1;2;12;3,65576975291882
2017;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.3. el Carme";1;3;13;3,24052007899934
2017;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.4. el Pilar";1;4;14;3,36447522892698
2017;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.5. el Mercat";1;5;15;3,42120684653322
2017;"Distribució de la renda P80/P20.";"1. Ciutat Vella";"1.6. Sant Francesc";1;6;16;3,64587997797761
2017;"Distribució de la renda P80/P20.";"2. l'Eixample";"2.1. Russafa";2;1;21;3,32128078817734
2017;"Distribució de la renda P80/P20.";"2. l'Eixample";"2.2. el Pla del Remei";2;2;22;3,28280818934224
2017;"Distribució de la renda P80/P20.";"2. l'Eixample";"2.3. Gran Via";2;3;23;2,78339555404717
2017;"Distribució de la renda P80/P20.";"3. Extramurs";"3.1. el Botànic";3;1;31;3,48219133278823
2017;"Distribució de la renda P80/P20.";"3. Extramurs";"3.2. la Roqueta";3;2;32;3,84129136029412
2017;"Distribució de la renda P80/P20.";"3. Extramurs";"3.3. la Petxina";3;3;33;3,23730040595399
2017;"Distribució de la renda P80/P20.";"3. Extramurs";"3.4. Arrancapins";3;4;34;3,20716432640976
2017;"Distribució de la renda P80/P20.";"4. Campanar";"4.1. Campanar";4;1;41;2,80006162514306
2017;"Distribució de la renda P80/P20.";"4. Campanar";"4.2. les Tendetes";4;2;42;3,5489001362663
2017;"Distribució de la renda P80/P20.";"4. Campanar";"4.3. el Calvari";4;3;43;3,17587832047986
2017;"Distribució de la renda P80/P20.";"4. Campanar";"4.4. Sant Pau";4;4;44;2,67041879972861
2017;"Distribució de la renda P80/P20.";"5. la Saïdia";"5.1. Marxalenes";5;1;51;3,07831508805331
2017;"Distribució de la renda P80/P20.";"5. la Saïdia";"5.2. Morvedre";5;2;52;3,23189361921451
2017;"Distribució de la renda P80/P20.";"5. la Saïdia";"5.3. Trinitat";5;3;53;3,24807395993837
2017;"Distribució de la renda P80/P20.";"5. la Saïdia";"5.4. Tormos";5;4;54;3,2962457337884
2017;"Distribució de la renda P80/P20.";"5. la Saïdia";"5.5. Sant Antoni";5;5;55;2,99842321034374
2017;"Distribució de la renda P80/P20.";"6. el Pla del Real";"6.1. Exposició";6;1;61;2,94173834314169
2017;"Distribució de la renda P80/P20.";"6. el Pla del Real";"6.2. Mestalla";6;2;62;3,13064527284045
2017;"Distribució de la renda P80/P20.";"6. el Pla del Real";"6.3. Jaume Roig";6;3;63;3,06539852224493
2017;"Distribució de la renda P80/P20.";"6. el Pla del Real";"6.4. Ciutat Universitària";6;4;64;2,81117021276596
2017;"Distribució de la renda P80/P20.";"7. l'Olivereta";"7.1. Nou Moles";7;1;71;3,0783391540551
2017;"Distribució de la renda P80/P20.";"7. l'Olivereta";"7.2. Soternes";7;2;72;2,78765128205128
2017;"Distribució de la renda P80/P20.";"7. l'Olivereta";"7.3. Tres Forques";7;3;73;2,93205708318831
2017;"Distribució de la renda P80/P20.";"7. l'Olivereta";"7.4. la Fontsanta";7;4;74;4,00597633136095
2017;"Distribució de la renda P80/P20.";"7. l'Olivereta";"7.5. la Llum";7;5;75;2,47533279548205
2017;"Distribució de la renda P80/P20.";"8. Patraix";"8.1. Patraix";8;1;81;3,00033028869679
2017;"Distribució de la renda P80/P20.";"8. Patraix";"8.2. Sant Isidre";8;2;82;2,38640040444894
2017;"Distribució de la renda P80/P20.";"8. Patraix";"8.3. Vara de Quart";8;3;83;2,6536778939218
2017;"Distribució de la renda P80/P20.";"8. Patraix";"8.4. Safranar";8;4;84;2,56493108728943
2017;"Distribució de la renda P80/P20.";"8. Patraix";"8.5. Favara";8;5;85;2,74755381604697
2017;"Distribució de la renda P80/P20.";"9. Jesús";"9.1. la Raiosa";9;1;91;3,23001720942547
2017;"Distribució de la renda P80/P20.";"9. Jesús";"9.2. l'Hort de Senabre";9;2;92;2,76722336972558
2017;"Distribució de la renda P80/P20.";"9. Jesús";"9.3. la Creu Coberta";9;3;93;2,86042904290429
2017;"Distribució de la renda P80/P20.";"9. Jesús";"9.4. Sant Marcel·lí";9;4;94;2,71204209674155
2017;"Distribució de la renda P80/P20.";"9. Jesús";"9.5. Camí Real";9;5;95;2,66941460794844
2017;"Distribució de la renda P80/P20.";"10. Quatre Carreres";"10.1. Mont-Olivet";10;1;101;3,26946851832515
2017;"Distribució de la renda P80/P20.";"10. Quatre Carreres";"10.2. en Corts";10;2;102;3,31101010959137
2017;"Distribució de la renda P80/P20.";"10. Quatre Carreres";"10.3. Malilla";10;3;103;2,61927545512762
2017;"Distribució de la renda P80/P20.";"10. Quatre Carreres";"10.4. Fonteta de Sant Lluís";10;4;104;2,90326502257728
2017;"Distribució de la renda P80/P20.";"10. Quatre Carreres";"10.5. na Rovella";10;5;105;3,41683719725424
2017;"Distribució de la renda P80/P20.";"10. Quatre Carreres";"10.6. la Punta";10;6;106;3,69362376237624
2017;"Distribució de la renda P80/P20.";"10. Quatre Carreres";"10.7. Ciutat de les Arts i de les Ciències";10;7;107;2,95571722516167
2017;"Distribució de la renda P80/P20.";"11. Poblats Marítims";"11.1. el Grau";11;1;111;3,18296192124621
2017;"Distribució de la renda P80/P20.";"11. Poblats Marítims";"11.2. el Cabanyal-el Canyamelar";11;2;112;3,60928327645051
2017;"Distribució de la renda P80/P20.";"11. Poblats Marítims";"11.3. la Malva-rosa";11;3;113;3,09257009345794
2017;"Distribució de la renda P80/P20.";"11. Poblats Marítims";"11.4. Beteró";11;4;114;2,80494672754947
2017;"Distribució de la renda P80/P20.";"11. Poblats Marítims";"11.5. Natzaret";11;5;115;3,76242320819113
2017;"Distribució de la renda P80/P20.";"12. Camins al Grau";"12.1. Aiora";12;1;121;2,95249411000081
2017;"Distribució de la renda P80/P20.";"12. Camins al Grau";"12.2. Albors";12;2;122;3,04952169855343
2017;"Distribució de la renda P80/P20.";"12. Camins al Grau";"12.3. la Creu del Grau";12;3;123;2,90212664440052
2017;"Distribució de la renda P80/P20.";"12. Camins al Grau";"12.4. Camí Fondo";12;4;124;3,18324782511711
2017;"Distribució de la renda P80/P20.";"12. Camins al Grau";"12.5. Penya-roja";12;5;125;3,01259222823414
